Sample,Method,MAPQ,Count,Percent
8038,lowinput,5,390150,0.1624700430372171
8038,lowinput,6,531801,0.2214577248679613
8038,lowinput,7,565417,0.23545642528251745
8038,lowinput,8,445565,0.1855464942352368
8038,lowinput,9,535453,0.22297852609100863
8038,lowinput,10,330553,0.1376520828811514
8038,lowinput,11,287262,0.11962442522864812
8038,lowinput,12,347061,0.1445265041818265
8038,lowinput,13,439493,0.18301793316559184
8038,lowinput,14,300326,0.1250646626815206
8038,lowinput,15,508752,0.2118594369736519
8038,lowinput,16,386203,0.16082639505601015
8038,lowinput,17,401650,0.16725898445699924
8038,lowinput,18,381384,0.1588196203862771
8038,lowinput,19,507839,0.21147923666789004
8038,lowinput,20,450395,0.18755784963154531
8038,lowinput,21,541029,0.22530053803506994
8038,lowinput,22,642977,0.26775471193628286
8038,lowinput,23,406809,0.16940734522088238
8038,lowinput,24,557609,0.23220494227332972
8038,lowinput,25,823751,0.3430343724771258
8038,lowinput,26,149834,0.06239532597318567
8038,lowinput,27,1413052,0.5884368044439977
8038,lowinput,28,213738,0.08900684879838193
8038,lowinput,29,182670,0.07606921123057402
8038,lowinput,30,332883,0.13862236405576817
8038,lowinput,31,306011,0.1274320654616477
8038,lowinput,32,204898,0.08532561035047984
8038,lowinput,33,371902,0.15487103407824457
8038,lowinput,34,176267,0.07340281193397706
8038,lowinput,35,174215,0.07254829821281246
8038,lowinput,36,215318,0.08966480770649113
8038,lowinput,37,320611,0.13351193891632762
8038,lowinput,38,130578,0.054376555888027006
8038,lowinput,39,462004,0.19239218188739318
8038,lowinput,40,4857608,2.0228521871534797
8038,lowinput,41,435888,0.18151670413791232
8038,lowinput,42,312764,0.13024421514928147
8038,lowinput,43,674263,0.2807831311762223
8038,lowinput,44,401876,0.16735309756664019
8038,lowinput,45,873808,0.3638795934032157
8038,lowinput,46,934237,0.3890440230602604
8038,lowinput,47,467283,0.19459051421391751
8038,lowinput,48,2346434,0.9771247801204395
8038,lowinput,49,211430,0.08804572907691609
8038,lowinput,50,293439,0.12219671141560412
8038,lowinput,51,231526,0.09641430010056319
8038,lowinput,52,401979,0.16739598982457388
8038,lowinput,53,126133,0.052525525921859044
8038,lowinput,54,199362,0.0830202555939656
8038,lowinput,55,249596,0.10393918457495127
8038,lowinput,56,171630,0.07147182746758317
8038,lowinput,57,949152,0.3952550718668735
8038,lowinput,58,143439,0.05973225811409813
8038,lowinput,59,397721,0.16562283221018845
8038,lowinput,60,164806038,68.63012709638149
8167,normalinput,0,44299224,18.46012983824309
8167,normalinput,1,578800,0.24119436381944528
8167,normalinput,2,352362,0.14683436147917653
8167,normalinput,3,630479,0.26272975346668975
8167,normalinput,4,456895,0.19039478033394167
8167,normalinput,5,451520,0.1881549397922528
8167,normalinput,6,605800,0.25244565584281264
8167,normalinput,7,624402,0.26019737933239334
8167,normalinput,8,509020,0.21211602465683144
8167,normalinput,9,604408,0.2518655892318301
8167,normalinput,10,385918,0.16081763389162523
8167,normalinput,11,330126,0.13756829742615442
8167,normalinput,12,373881,0.1558016412218003
8167,normalinput,13,467265,0.1947161098999535
8167,normalinput,14,323786,0.13492632737326002
8167,normalinput,15,528011,0.22002985009445253
8167,normalinput,16,419900,0.17497842668933147
8167,normalinput,17,424126,0.17673946224824819
8167,normalinput,18,412517,0.1719018233927196
8167,normalinput,19,525509,0.2189872303669538
8167,normalinput,20,456541,0.19024726339407974
8167,normalinput,21,577475,0.2406422170812615
8167,normalinput,22,663885,0.27665051870123086
8167,normalinput,23,435313,0.1814012475765967
8167,normalinput,24,574526,0.23941332596359816
8167,normalinput,25,858253,0.3576464864048555
8167,normalinput,26,186084,0.07754390462504777
8167,normalinput,27,1442250,0.6010065155815393
8167,normalinput,28,246099,0.1025530265058771
8167,normalinput,29,209961,0.08749379720437897
8167,normalinput,30,328767,0.1370019823943116
8167,normalinput,31,330689,0.1378029077005676
8167,normalinput,32,235450,0.09811543358895713
8167,normalinput,33,405015,0.168775631068301
8167,normalinput,34,211266,0.08803760965217505
8167,normalinput,35,201753,0.0840734044292753
8167,normalinput,36,248693,0.10363398396915913
8167,normalinput,37,347211,0.14468786498982966
8167,normalinput,38,159716,0.0665559761779311
8167,normalinput,39,488468,0.20355170785445195
8167,normalinput,40,4756738,1.9822017895054949
8167,normalinput,41,462730,0.1928263095545472
8167,normalinput,42,348921,0.14540044681797626
8167,normalinput,43,699925,0.29166890997982936
8167,normalinput,44,435691,0.18155876566492385
8167,normalinput,45,899611,0.37488096549753797
8167,normalinput,46,949444,0.39564710014199966
8167,normalinput,47,535187,0.2230201934855519
8167,normalinput,48,2294199,0.9560260336561982
8167,normalinput,49,248543,0.10357147679125153
8167,normalinput,50,308208,0.12843474859029644
8167,normalinput,51,254409,0.10601592416195793
8167,normalinput,52,401992,0.16751590307620326
8167,normalinput,53,129996,0.05417122066183934
8167,normalinput,54,195930,0.0816468757829024
8167,normalinput,55,244879,0.10204463479222864
8167,normalinput,56,208196,0.08675829607766625
8167,normalinput,57,938333,0.39101698511712424
8167,normalinput,58,170097,0.07088188960365616
8167,normalinput,59,416202,0.17343741639664956
8167,normalinput,60,163161845,67.99190982097778
8168,normalinput,0,41619954,17.336520079715424
8168,normalinput,1,704776,0.2935698409397934
8168,normalinput,2,401721,0.16733425949830122
8168,normalinput,3,743011,0.30949638053298756
8168,normalinput,4,514689,0.21439034226968756
8168,normalinput,5,511907,0.21323151833485648
8168,normalinput,6,688629,0.2868439135222099
